iter	Passed	Remaining
0	3	377
1	7	353
2	10	339
3	13	334
4	16	322
5	19	299
6	21	282
7	23	267
8	24	251
9	27	243
10	28	231
11	30	220
12	31	209
13	32	200
14	33	191
15	35	184
16	36	176
17	37	169
18	38	163
19	39	158
20	40	152
21	41	147
22	42	142
23	43	137
24	44	133
25	45	128
26	46	124
27	47	121
28	48	117
29	48	113
30	49	110
31	50	107
32	51	103
33	51	100
34	52	97
35	53	95
36	54	92
37	55	90
38	55	87
39	56	84
40	57	82
41	57	79
42	58	77
43	58	74
44	59	72
45	60	70
46	60	68
47	61	66
48	62	64
49	62	62
50	63	61
51	64	59
52	64	57
53	65	55
54	66	54
55	66	52
56	67	51
57	68	49
58	69	48
59	70	46
60	70	45
61	71	43
62	72	42
63	72	40
64	73	39
65	74	38
66	74	36
67	75	35
68	76	34
69	76	32
70	77	31
71	78	30
72	78	29
73	79	27
74	80	26
75	80	25
76	82	24
77	83	23
78	83	22
79	84	21
80	85	20
81	86	18
82	86	17
83	87	16
84	88	15
85	88	14
86	89	13
87	90	12
88	90	11
89	91	10
90	92	9
91	92	8
92	93	7
93	94	6
94	94	4
95	95	3
96	96	2
97	97	1
98	97	0
99	98	0
