iter	Passed	Remaining
0	149	148942
1	151	75362
2	153	51022
3	155	38596
4	156	31221
5	159	26377
6	161	22971
7	164	20426
8	166	18356
9	172	17063
10	175	15789
11	178	14693
12	180	13683
13	183	12931
14	189	12426
15	192	11825
16	195	11331
17	198	10815
18	201	10378
19	208	10210
20	210	9805
21	212	9457
22	214	9117
23	216	8805
24	218	8526
25	220	8256
26	222	8003
27	225	7840
28	227	7630
29	229	7424
30	231	7240
31	233	7054
32	234	6876
33	236	6709
34	237	6554
35	239	6410
36	241	6279
37	243	6161
38	244	6036
39	247	5930
40	249	5833
41	250	5722
42	255	5692
43	261	5672
44	263	5581
45	264	5492
46	266	5400
47	267	5314
48	270	5248
49	272	5180
50	274	5111
51	276	5040
52	278	4977
53	280	4910
54	281	4840
55	283	4773
56	284	4707
57	285	4643
58	287	4582
59	288	4523
60	290	4465
61	291	4407
62	292	4352
63	296	4332
64	297	4282
65	299	4231
66	300	4182
67	301	4136
68	303	4089
69	304	4044
70	305	3999
71	307	3958
72	308	3918
73	309	3877
74	311	3837
75	314	3819
76	315	3782
77	316	3744
78	318	3707
79	319	3670
80	320	3637
81	322	3607
82	322	3568
83	324	3535
84	325	3503
85	326	3473
86	327	3441
87	329	3410
88	330	3379
89	333	3367
90	334	3341
91	335	3314
92	337	3287
93	338	3262
94	339	3236
95	340	3209
96	342	3183
97	343	3158
98	344	3132
99	345	3107
100	347	3090
101	348	3066
102	350	3053
103	352	3036
104	354	3022
105	358	3026
106	363	3029
107	367	3034
108	372	3042
109	373	3024
110	375	3007
111	376	2987
112	378	2967
113	379	2947
114	380	2927
115	381	2907
116	382	2887
117	384	2872
118	385	2855
119	387	2841
120	389	2829
121	390	2813
122	392	2800
123	393	2783
124	395	2766
125	396	2752
126	397	2735
127	399	2719
128	400	2703
129	401	2687
130	403	2676
131	405	2664
132	408	2660
133	409	2647
134	411	2633
135	412	2621
136	414	2609
137	416	2599
138	417	2586
139	418	2572
140	420	2558
141	421	2544
142	422	2532
143	426	2532
144	427	2523
145	429	2511
146	430	2498
147	431	2485
148	433	2473
149	434	2462
150	435	2450
151	437	2439
152	438	2428
153	440	2417
154	441	2406
155	444	2403
156	445	2393
157	447	2382
158	448	2372
159	449	2361
160	450	2348
161	452	2338
162	453	2328
163	454	2318
164	455	2307
165	457	2296
166	458	2286
167	462	2290
168	464	2284
169	465	2274
170	467	2266
171	468	2256
172	470	2247
173	471	2237
174	472	2227
175	473	2217
176	474	2207
177	475	2197
178	477	2187
179	478	2178
180	480	2174
181	482	2168
182	483	2159
183	485	2150
184	486	2142
